"track_id","track_name","artist_name","album_name","album_release_year","album_release_date_precision","album_type","album_release_date","track_number","explicit","type","disc_number","time_signature","tempo","duration_ms","key_name","mode_name","key_mode","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","Position","Year","Top_100"
"29yRN7Kt31N8trbVzuH7aA","Let's Have A Party","The Spencer Davis Group","Living In A Back Street",1974,"year","album","1974",19,FALSE,"track",1,4,138.513,208880,"A#","minor","A# minor",0.459,0.607,10,-8.846,0,0.0421,0.00142,0.0922,0.317,0.866,NA,NA,"No"
"2S9FOqtpxFb48XIFlSs5kX","O Tanenbaum","Natalie Cole","Caroling, Caroling: Christmas with Natalie Cole",2008,"day","album","2008-10-07",2,FALSE,"track",1,4,79.071,237506,"D#","major","D# major",0.225,0.237,3,-14.445,1,0.0378,0.968,0.000329,0.0972,0.112,NA,NA,"No"
"7xNpHj4xfvQwnLS4E0wB1Y","Calling You","Blue October","Argue With A Tree...",2011,"day","album","2011-01-31",15,FALSE,"track",1,4,110.353,255280,"C","major","C major",0.369,0.876,0,-5.5,1,0.0525,0.164,0,0.396,0.217,NA,NA,"No"
"5h1wvtHcmWcQ0Ybbk4h2M7","In Our Own Time","Lindsey Buckingham","Seeds We Sow",2011,"day","album","2011-11-06",2,FALSE,"track",1,3,138.91,264173,"C#","major","C# major",0.55,0.748,1,-7.797,1,0.0323,0.0746,0.000223,0.281,0.536,NA,NA,"No"
"1grXZe3HKv4tzWzClLcYur","Case 795 (The Family)","John Mellencamp","Human Wheels",2005,"day","album","2005-01-01",5,FALSE,"track",1,4,110.547,314093,"A#","major","A# major",0.63,0.916,10,-4.522,1,0.0268,0.00821,0.000553,0.325,0.8,NA,NA,"No"
"3pULKE8e7RvNgGVTOP1ABr","Daddy - 7th Heaven Mixshow Edit","Emeli Sandé","Our Version Of Events",2012,"day","album","2012-02-13",17,FALSE,"track",1,4,130.04,305800,"C#","major","C# major",0.527,0.858,1,-4.499,1,0.0305,0.000202,0,0.13,0.284,NA,NA,"No"
"1LPte3UbROmqDVQmi6oO7c","Close The Door","Boyz II Men","Throwback",2004,"day","album","2004-08-24",5,FALSE,"track",1,4,92.982,252173,"C","minor","C minor",0.724,0.408,0,-6.932,0,0.0642,0.372,7e-05,0.411,0.533,NA,NA,"No"
"6rw94CJWUOc6tBBTDAPUY8","Mumble Jumble","Floyd Cramer","My Blue Heaven",2015,"day","album","2015-06-05",21,FALSE,"track",1,4,126.293,135506,"G","major","G major",0.724,0.917,7,-5.311,1,0.0429,0.395,0.9,0.0523,0.97,NA,NA,"No"
"4kziwqDOglVpiLQj9aaPZq","Rockin' After Midnight - Instrumental","Marvin Gaye","Midnight Love",1982,"day","album","1982-10-01",9,FALSE,"track",1,4,125.059,420066,"D#","minor","D# minor",0.75,0.597,3,-8.993,0,0.03,0.346,0.868,0.0426,0.739,NA,NA,"No"
"6PxbVHlkv7QZthvV1nE4a5","Betty And Dupree","The Brothers Four","The Greatest Hits Collection",2015,"day","album","2015-04-21",10,FALSE,"track",1,4,95.912,177280,"E","major","E major",0.667,0.386,4,-13.935,1,0.0409,0.86,0.0149,0.0974,0.564,NA,NA,"No"
"2s7eA9w15hPYKn8mqbRKQ9","You Know You Don't Want Me","Timi Yuro","Something Bad On My Mind",1968,"day","album","1968-03-13",8,FALSE,"track",1,3,122.906,165093,"C","major","C major",0.282,0.302,0,-10.232,1,0.0323,0.849,8.99e-06,0.064,0.162,NA,NA,"No"
"49vTV0XSP8yMsOKfXw6rJt","Sentimental Journey","Bill Black's Combo","Goes Big Band",2014,"day","album","2014-07-25",3,FALSE,"track",1,4,102.346,167640,"F","major","F major",0.719,0.761,5,-4.218,1,0.0412,0.56,0.0339,0.085,0.827,NA,NA,"No"
"5uLzqHlXgRpR3WU0m13cR0","You Were Meant For Me - Album Edit","Jewel","Greatest Hits",2013,"day","album","2013-02-01",2,FALSE,"track",1,4,115.837,229840,"G","major","G major",0.597,0.463,7,-5.528,1,0.0371,0.824,0,0.107,0.227,NA,NA,"No"
"5imwxivYf52VQhCRwCrDY0","Back In The Days","Shaggy","Clothes Drop",2005,"day","album","2005-01-01",5,FALSE,"track",1,4,89.584,240226,"G#","major","G# major",0.888,0.643,8,-5.728,1,0.0615,0.179,0,0.17,0.604,NA,NA,"No"
"4EkQ8TdYzbaiR5X3SmgCud","O God, Our Help In Ages Past","Mormon Tabernacle Choir","Onward Christian Soldiers",2011,"day","album","2011-06-01",17,FALSE,"track",1,3,116.114,113324,"C","major","C major",0.259,0.0837,0,-15.819,1,0.0376,0.975,0,0.303,0.37,NA,NA,"No"
"1fMEoly19moxh7qjPF45JY","Silvana Mangano","Pérez Prado","Pérez Prado - The Mambo King Original Recordings 1949-1958",2011,"day","album","2011-07-18",11,FALSE,"track",1,4,150.625,157680,"A#","minor","A# minor",0.685,0.416,10,-14.215,0,0.493,0.72,0.617,0.0803,0.682,NA,NA,"No"
